,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60,Type
26,0.015,0.032,0.06,0.105,0.11599999999999999,0.17300000000000001,0.168,0.11199999999999999,0.08900000000000001,0.12,0.085,0.152,0.23,0.27899999999999997,0.34,0.45299999999999996,0.695,0.8809999999999999,0.915,0.754,0.674,0.715,0.8340000000000001,0.77,0.6990000000000001,0.654,0.504,0.493,0.499,0.41600000000000004,0.163,0.04,0.064,0.29600000000000004,0.361,0.187,0.048,0.15,0.24,0.198,0.318,0.23800000000000002,0.172,0.156,0.156,0.042,0.049,0.048,0.022000000000000002,0.006,0.009,0.006,0.002,0.008,0.013000000000000001,0.005,0.001,0.002,0.002,0.006,R
141,0.071,0.125,0.145,0.16399999999999998,0.16899999999999998,0.084,0.07200000000000001,0.095,0.158,0.125,0.23399999999999999,0.17600000000000002,0.228,0.312,0.47200000000000003,0.5539999999999999,0.539,0.375,0.45799999999999996,0.596,0.746,0.764,0.5710000000000001,0.626,0.67,0.713,0.757,0.8079999999999999,0.848,0.929,0.951,0.8,0.436,0.405,0.495,0.171,0.365,0.376,0.284,0.043,0.5329999999999999,0.695,0.429,0.306,0.584,0.569,0.263,0.12,0.098,0.037000000000000005,0.028999999999999998,0.016,0.02,0.013999999999999999,0.013000000000000001,0.013999999999999999,0.013000000000000001,0.013000000000000001,0.015,0.022000000000000002,M
2,0.026000000000000002,0.057999999999999996,0.11,0.10800000000000001,0.09699999999999999,0.228,0.243,0.377,0.56,0.619,0.633,0.706,0.5539999999999999,0.532,0.648,0.693,0.6759999999999999,0.755,0.893,0.862,0.797,0.674,0.429,0.365,0.5329999999999999,0.24100000000000002,0.507,0.853,0.604,0.851,0.851,0.504,0.18600000000000003,0.271,0.423,0.304,0.612,0.6759999999999999,0.5379999999999999,0.47200000000000003,0.465,0.259,0.213,0.222,0.21100000000000002,0.018000000000000002,0.135,0.07400000000000001,0.013000000000000001,0.011000000000000001,0.003,0.023,0.017,0.01,0.018000000000000002,0.024,0.032,0.016,0.01,0.008,R
165,0.022000000000000002,0.006,0.016,0.049,0.052000000000000005,0.085,0.081,0.183,0.223,0.18100000000000002,0.255,0.298,0.262,0.18899999999999997,0.067,0.267,0.42700000000000005,0.629,0.778,0.769,0.81,0.8490000000000001,0.9440000000000001,0.945,0.966,0.804,0.49700000000000005,0.396,0.386,0.557,0.731,0.855,0.9420000000000001,0.873,0.667,0.469,0.155,0.175,0.361,0.521,0.518,0.37,0.22399999999999998,0.08199999999999999,0.04,0.078,0.105,0.10300000000000001,0.076,0.022000000000000002,0.017,0.009,0.005,0.002,0.008,0.006,0.002,0.007,0.007,0.004,M
153,0.023,0.039,0.042,0.055,0.099,0.152,0.16699999999999998,0.151,0.172,0.20800000000000002,0.124,0.024,0.177,0.312,0.499,0.6709999999999999,0.7659999999999999,0.848,0.98,1.0,1.0,0.9990000000000001,0.907,0.68,0.51,0.47200000000000003,0.498,0.62,0.7170000000000001,0.632,0.355,0.29,0.43200000000000005,0.379,0.242,0.094,0.035,0.084,0.044000000000000004,0.113,0.204,0.19399999999999998,0.083,0.15,0.168,0.106,0.111,0.085,0.06,0.02,0.007,0.01,0.006,0.003,0.002,0.006,0.004,0.01,0.008,0.001,M
98,0.131,0.23399999999999999,0.306,0.426,0.401,0.179,0.185,0.006,0.193,0.223,0.29100000000000004,0.226,0.314,0.33,0.366,0.396,0.439,0.467,0.526,0.374,0.22399999999999998,0.19699999999999998,0.434,0.653,0.507,0.28,0.41600000000000004,0.595,0.524,0.418,0.371,0.23800000000000002,0.086,0.14400000000000002,0.29,0.45799999999999996,0.37200000000000005,0.337,0.38,0.418,0.36,0.271,0.165,0.195,0.281,0.225,0.192,0.15,0.066,0.019,0.016,0.036000000000000004,0.021,0.015,0.018000000000000002,0.001,0.011000000000000001,0.013000000000000001,0.018000000000000002,0.023,M
17,0.019,0.061,0.038,0.077,0.139,0.081,0.057,0.022000000000000002,0.10400000000000001,0.11900000000000001,0.124,0.16,0.35200000000000004,0.44799999999999995,0.377,0.5760000000000001,0.643,0.679,0.716,0.547,0.54,0.636,0.785,0.7759999999999999,0.578,0.486,0.418,0.24600000000000002,0.07200000000000001,0.061,0.182,0.449,0.598,0.37799999999999995,0.25,0.5770000000000001,0.885,0.841,0.35700000000000004,0.313,0.61,0.638,0.271,0.142,0.126,0.129,0.079,0.083,0.052000000000000005,0.022000000000000002,0.036000000000000004,0.033,0.013000000000000001,0.012,0.011000000000000001,0.002,0.004,0.004,0.011000000000000001,0.008,R
182,0.01,0.031,0.054000000000000006,0.040999999999999995,0.061,0.10400000000000001,0.102,0.139,0.259,0.374,0.423,0.45,0.54,0.43,0.33299999999999996,0.35,0.34299999999999997,0.285,0.406,0.6829999999999999,0.765,0.667,0.57,0.6,0.648,0.861,0.982,0.938,0.8440000000000001,0.607,0.54,0.6890000000000001,0.598,0.324,0.052000000000000005,0.316,0.359,0.38799999999999996,0.5720000000000001,0.431,0.305,0.439,0.43,0.483,0.508,0.195,0.154,0.204,0.105,0.025,0.036000000000000004,0.018000000000000002,0.002,0.01,0.013000000000000001,0.004,0.004,0.003,0.003,0.003,M
9,0.016,0.017,0.035,0.007,0.019,0.067,0.106,0.07,0.096,0.025,0.08,0.106,0.127,0.08900000000000001,0.02,0.113,0.28300000000000003,0.32299999999999995,0.324,0.433,0.607,0.765,0.92,0.972,0.9209999999999999,0.754,0.8290000000000001,0.8909999999999999,0.731,0.69,0.583,0.494,0.31,0.031,0.024,0.111,0.159,0.13699999999999998,0.07,0.045,0.062,0.142,0.16,0.138,0.037000000000000005,0.069,0.087,0.051,0.009,0.02,0.012,0.009,0.022000000000000002,0.018000000000000002,0.008,0.007,0.003,0.004,0.006,0.004,R
8,0.022000000000000002,0.038,0.048,0.048,0.065,0.059000000000000004,0.075,0.01,0.068,0.149,0.11599999999999999,0.165,0.38299999999999995,0.36,0.171,0.114,0.035,0.38,0.74,0.992,0.98,0.889,0.6709999999999999,0.429,0.337,0.737,0.961,0.735,0.486,0.159,0.301,0.41,0.317,0.33,0.341,0.21899999999999997,0.24600000000000002,0.273,0.168,0.27899999999999997,0.256,0.174,0.212,0.11,0.098,0.127,0.146,0.11599999999999999,0.078,0.044000000000000004,0.006,0.013999999999999999,0.013000000000000001,0.013999999999999999,0.006,0.005,0.006,0.009,0.006,0.002,R
194,0.039,0.011000000000000001,0.027000000000000003,0.026000000000000002,0.040999999999999995,0.049,0.105,0.16899999999999998,0.21,0.247,0.268,0.305,0.28600000000000003,0.22899999999999998,0.11599999999999999,0.213,0.20600000000000002,0.222,0.324,0.433,0.507,0.594,0.708,0.764,0.888,0.971,0.988,0.981,0.946,0.8540000000000001,0.6459999999999999,0.34,0.38299999999999995,0.32,0.133,0.044000000000000004,0.12300000000000001,0.203,0.165,0.10400000000000001,0.107,0.21100000000000002,0.242,0.163,0.077,0.07200000000000001,0.091,0.081,0.05,0.01,0.009,0.008,0.008,0.003,0.008,0.004,0.007,0.004,0.002,0.001,M
157,0.02,0.018000000000000002,0.027000000000000003,0.023,0.07200000000000001,0.083,0.12300000000000001,0.13,0.20800000000000002,0.272,0.21899999999999997,0.304,0.29600000000000004,0.20600000000000002,0.091,0.161,0.18,0.218,0.203,0.151,0.052000000000000005,0.214,0.433,0.594,0.693,0.758,0.879,0.9059999999999999,0.853,0.909,0.966,0.9309999999999999,0.777,0.664,0.66,0.688,0.6940000000000001,0.593,0.5770000000000001,0.622,0.584,0.45299999999999996,0.491,0.5760000000000001,0.501,0.40399999999999997,0.312,0.223,0.10800000000000001,0.040999999999999995,0.025,0.013000000000000001,0.005,0.01,0.01,0.009,0.008,0.002,0.005,0.004,M
47,0.037000000000000005,0.027999999999999997,0.023,0.022000000000000002,0.018000000000000002,0.073,0.084,0.10300000000000001,0.099,0.08,0.156,0.256,0.262,0.11800000000000001,0.06,0.156,0.22399999999999998,0.359,0.179,0.326,0.608,0.6990000000000001,0.8390000000000001,0.855,0.7709999999999999,0.622,0.574,0.44,0.406,0.441,0.513,0.596,0.727,0.654,0.59,0.539,0.49,0.408,0.414,0.6,0.72,0.6629999999999999,0.629,0.409,0.321,0.252,0.14800000000000002,0.099,0.032,0.027000000000000003,0.007,0.001,0.004,0.002,0.001,0.007,0.01,0.005,0.008,0.006,R
173,0.033,0.022000000000000002,0.039,0.063,0.11599999999999999,0.14800000000000002,0.205,0.16,0.253,0.267,0.306,0.316,0.231,0.207,0.18,0.281,0.442,0.595,0.66,0.584,0.45399999999999996,0.479,0.565,0.528,0.7120000000000001,1.0,0.956,0.609,0.511,0.4,0.048,0.185,0.21899999999999997,0.14400000000000002,0.17600000000000002,0.14300000000000002,0.16399999999999998,0.309,0.365,0.444,0.386,0.281,0.124,0.095,0.12,0.08199999999999999,0.062,0.013999999999999999,0.011000000000000001,0.012,0.01,0.01,0.015,0.006,0.002,0.005,0.002,0.004,0.005,0.007,M
152,0.013000000000000001,0.02,0.004,0.022000000000000002,0.023,0.048,0.07400000000000001,0.033,0.13699999999999998,0.20800000000000002,0.23,0.19899999999999998,0.11800000000000001,0.18899999999999997,0.295,0.534,0.685,0.792,0.8220000000000001,0.7290000000000001,0.735,0.792,0.8059999999999999,0.49,0.193,0.292,0.626,0.855,0.897,0.782,0.517,0.484,0.40399999999999997,0.341,0.285,0.235,0.27,0.444,0.43200000000000005,0.331,0.12,0.16699999999999998,0.37,0.307,0.094,0.154,0.139,0.077,0.062,0.023,0.011000000000000001,0.017,0.009,0.004,0.006,0.006,0.003,0.007,0.003,0.005,M
144,0.03,0.069,0.099,0.102,0.08,0.063,0.013000000000000001,0.081,0.17600000000000002,0.1,0.052000000000000005,0.09,0.266,0.31,0.35200000000000004,0.389,0.396,0.245,0.23600000000000002,0.304,0.311,0.47,0.5529999999999999,0.45299999999999996,0.446,0.467,0.462,0.6990000000000001,0.763,0.7020000000000001,0.738,0.745,0.7929999999999999,0.523,0.397,0.304,0.131,0.24100000000000002,0.17800000000000002,0.16,0.5660000000000001,0.644,0.424,0.457,0.5760000000000001,0.529,0.32899999999999996,0.128,0.07,0.033,0.034,0.046,0.027999999999999997,0.017,0.009,0.005,0.02,0.013000000000000001,0.012,0.002,M
103,0.016,0.025,0.026000000000000002,0.039,0.064,0.047,0.106,0.139,0.06,0.133,0.297,0.475,0.568,0.569,0.642,0.7490000000000001,0.9,1.0,0.9690000000000001,0.903,0.768,0.7,0.664,0.596,0.371,0.092,0.048,0.08800000000000001,0.10400000000000001,0.171,0.326,0.461,0.39399999999999996,0.505,0.483,0.35100000000000003,0.23199999999999998,0.40299999999999997,0.368,0.151,0.07400000000000001,0.14,0.155,0.038,0.064,0.044000000000000004,0.026000000000000002,0.022000000000000002,0.019,0.008,0.013999999999999999,0.007,0.008,0.023,0.02,0.007,0.004,0.01,0.005,0.002,M
117,0.023,0.011000000000000001,0.013000000000000001,0.084,0.11199999999999999,0.151,0.17800000000000002,0.1,0.14300000000000002,0.223,0.262,0.311,0.28600000000000003,0.332,0.376,0.45,0.47600000000000003,0.625,0.73,0.87,0.935,0.961,0.9129999999999999,0.9440000000000001,1.0,0.946,0.882,0.752,0.7070000000000001,0.599,0.386,0.251,0.21600000000000003,0.09699999999999999,0.132,0.134,0.225,0.324,0.39399999999999996,0.381,0.326,0.365,0.298,0.17800000000000002,0.154,0.12,0.096,0.076,0.065,0.031,0.018000000000000002,0.01,0.018000000000000002,0.008,0.007,0.01,0.006,0.004,0.006,0.004,M
10,0.004,0.006,0.015,0.034,0.031,0.027999999999999997,0.04,0.027000000000000003,0.032,0.045,0.049,0.1,0.142,0.11900000000000001,0.063,0.091,0.11800000000000001,0.14300000000000002,0.122,0.11,0.185,0.37200000000000005,0.43799999999999994,0.5710000000000001,0.665,0.748,0.765,0.856,0.972,0.922,0.75,0.721,0.7759999999999999,0.606,0.502,0.45,0.395,0.428,0.44299999999999995,0.375,0.19699999999999998,0.051,0.079,0.127,0.153,0.069,0.04,0.053,0.023,0.007,0.006,0.006,0.012,0.005,0.006,0.009,0.004,0.0,0.005,0.004,R
126,0.07200000000000001,0.085,0.059000000000000004,0.022000000000000002,0.086,0.18,0.192,0.19,0.29600000000000004,0.419,0.48700000000000004,0.525,0.596,0.6859999999999999,0.857,0.972,0.8690000000000001,0.871,0.895,0.992,0.898,0.816,0.8370000000000001,0.754,0.589,0.5489999999999999,0.564,0.541,0.478,0.444,0.37,0.257,0.14800000000000002,0.174,0.12300000000000001,0.159,0.18,0.14400000000000002,0.16699999999999998,0.263,0.223,0.124,0.087,0.209,0.15,0.068,0.09,0.09300000000000001,0.066,0.009,0.022000000000000002,0.015,0.012,0.01,0.02,0.004,0.007,0.01,0.008,0.012,M
18,0.027000000000000003,0.009,0.013999999999999999,0.027999999999999997,0.040999999999999995,0.076,0.10300000000000001,0.114,0.079,0.152,0.168,0.13699999999999998,0.136,0.134,0.214,0.535,0.6829999999999999,0.56,0.309,0.32299999999999995,0.44299999999999995,0.557,0.578,0.617,0.813,0.982,0.982,0.917,0.742,0.774,0.847,0.735,0.667,0.608,0.624,0.597,0.5720000000000001,0.524,0.292,0.154,0.2,0.203,0.221,0.17800000000000002,0.135,0.13699999999999998,0.075,0.047,0.032,0.018000000000000002,0.004,0.008,0.001,0.002,0.007,0.004,0.012,0.013000000000000001,0.007,0.009,R
66,0.026000000000000002,0.044000000000000004,0.013999999999999999,0.008,0.03,0.044000000000000004,0.034,0.078,0.084,0.078,0.033,0.20600000000000002,0.191,0.106,0.146,0.223,0.207,0.11,0.10800000000000001,0.11599999999999999,0.222,0.069,0.20600000000000002,0.23800000000000002,0.09,0.228,0.5870000000000001,0.846,0.847,0.768,0.8059999999999999,0.626,0.654,0.875,0.988,0.935,0.696,0.573,0.5870000000000001,0.6659999999999999,0.565,0.525,0.368,0.2,0.151,0.051,0.09300000000000001,0.098,0.052000000000000005,0.019,0.01,0.004,0.019,0.016,0.007,0.01,0.007,0.008,0.009,0.01,R
5,0.028999999999999998,0.045,0.027999999999999997,0.017,0.038,0.099,0.12,0.183,0.21,0.304,0.299,0.425,0.634,0.82,1.0,0.9990000000000001,0.951,0.902,0.723,0.512,0.207,0.39799999999999996,0.589,0.287,0.204,0.578,0.539,0.375,0.341,0.507,0.5579999999999999,0.478,0.33,0.22,0.141,0.28600000000000003,0.381,0.41600000000000004,0.405,0.33,0.271,0.265,0.07200000000000001,0.124,0.11900000000000001,0.109,0.062,0.049,0.026000000000000002,0.008,0.01,0.004,0.001,0.004,0.001,0.009,0.006,0.003,0.005,0.006,R
46,0.031,0.034,0.02,0.08900000000000001,0.157,0.175,0.092,0.135,0.159,0.28,0.33399999999999996,0.294,0.161,0.33399999999999996,0.498,0.73,0.735,0.825,0.879,0.966,1.0,0.871,0.647,0.597,0.8220000000000001,0.7759999999999999,0.611,0.42,0.299,0.135,0.244,0.562,0.556,0.696,0.73,0.7020000000000001,0.547,0.142,0.474,0.6409999999999999,0.43799999999999994,0.318,0.23800000000000002,0.281,0.13699999999999998,0.114,0.10300000000000001,0.069,0.042,0.012,0.007,0.017,0.013000000000000001,0.013999999999999999,0.009,0.005,0.003,0.012,0.006,0.002,R
177,0.02,0.016,0.034,0.033,0.04,0.044000000000000004,0.068,0.09,0.174,0.257,0.293,0.311,0.36,0.3,0.272,0.201,0.18,0.223,0.35700000000000004,0.5489999999999999,0.721,0.8320000000000001,0.8859999999999999,0.9520000000000001,0.9640000000000001,1.0,0.9670000000000001,0.866,0.79,0.634,0.535,0.406,0.256,0.289,0.359,0.43,0.47700000000000004,0.452,0.376,0.305,0.192,0.11800000000000001,0.198,0.157,0.066,0.129,0.08,0.005,0.023,0.015,0.012,0.005,0.006,0.013999999999999999,0.011000000000000001,0.004,0.006,0.01,0.008,0.004,M
28,0.01,0.027999999999999997,0.019,0.037000000000000005,0.042,0.02,0.031,0.065,0.19,0.267,0.33799999999999997,0.32799999999999996,0.243,0.127,0.128,0.444,0.68,0.705,0.797,0.94,0.986,0.8190000000000001,0.579,0.639,0.7040000000000001,0.688,0.408,0.18100000000000002,0.20600000000000002,0.392,0.379,0.204,0.223,0.33399999999999996,0.39799999999999996,0.508,0.5529999999999999,0.335,0.272,0.228,0.204,0.19899999999999998,0.084,0.091,0.138,0.195,0.121,0.084,0.059000000000000004,0.025,0.012,0.009,0.01,0.004,0.009,0.005,0.012,0.002,0.009,0.006,R
201,0.034,0.026000000000000002,0.04,0.057,0.053,0.109,0.171,0.168,0.18600000000000003,0.266,0.319,0.355,0.312,0.196,0.17800000000000002,0.27899999999999997,0.287,0.397,0.56,0.6940000000000001,0.797,0.745,0.82,0.9259999999999999,0.8809999999999999,0.8809999999999999,0.93,0.996,0.858,0.607,0.39299999999999996,0.24600000000000002,0.16399999999999998,0.114,0.096,0.008,0.07,0.094,0.08900000000000001,0.113,0.087,0.102,0.196,0.226,0.18100000000000002,0.201,0.16899999999999998,0.10400000000000001,0.05,0.013999999999999999,0.013000000000000001,0.012,0.004,0.005,0.006,0.005,0.004,0.002,0.0,0.003,M
203,0.019,0.035,0.017,0.018000000000000002,0.039,0.163,0.203,0.16899999999999998,0.233,0.268,0.311,0.293,0.228,0.099,0.18,0.22,0.273,0.28600000000000003,0.203,0.174,0.413,0.688,0.812,0.845,0.892,0.93,0.9990000000000001,1.0,0.81,0.62,0.604,0.555,0.41600000000000004,0.147,0.085,0.061,0.09699999999999999,0.141,0.168,0.12,0.12,0.10400000000000001,0.198,0.134,0.09,0.10800000000000001,0.152,0.136,0.086,0.028999999999999998,0.02,0.012,0.01,0.02,0.003,0.01,0.006,0.012,0.019,0.016,M
181,0.042,0.032,0.071,0.011000000000000001,0.107,0.09699999999999999,0.096,0.132,0.24600000000000002,0.27,0.341,0.429,0.368,0.39399999999999996,0.29600000000000004,0.317,0.282,0.305,0.24100000000000002,0.542,0.68,0.632,0.5820000000000001,0.68,0.598,0.841,0.991,0.919,0.8,0.6709999999999999,0.563,0.733,0.604,0.258,0.035,0.18,0.304,0.47600000000000003,0.5760000000000001,0.425,0.505,0.718,0.616,0.5660000000000001,0.575,0.359,0.253,0.23,0.127,0.036000000000000004,0.037000000000000005,0.018000000000000002,0.004,0.009,0.012,0.008,0.006,0.002,0.004,0.002,M
36,0.009,0.017,0.04,0.036000000000000004,0.068,0.071,0.102,0.08900000000000001,0.038,0.133,0.13,0.027000000000000003,0.064,0.071,0.12,0.07200000000000001,0.122,0.235,0.368,0.392,0.49200000000000005,0.879,0.961,0.879,0.69,0.6940000000000001,0.5670000000000001,0.654,0.78,0.758,0.584,0.632,0.8109999999999999,0.904,0.865,0.67,0.40299999999999997,0.237,0.268,0.366,0.327,0.22,0.3,0.22,0.11599999999999999,0.064,0.046,0.042,0.017,0.017,0.013000000000000001,0.013999999999999999,0.019,0.013999999999999999,0.006,0.013000000000000001,0.022000000000000002,0.009,0.008,0.012,R
112,0.045,0.047,0.07,0.102,0.14,0.149,0.149,0.077,0.11699999999999999,0.168,0.28,0.332,0.401,0.43,0.535,0.541,0.687,0.804,0.919,0.917,1.0,0.997,0.909,0.792,0.67,0.532,0.35700000000000004,0.248,0.316,0.37799999999999995,0.314,0.171,0.294,0.523,0.593,0.544,0.452,0.33799999999999997,0.322,0.218,0.16699999999999998,0.263,0.298,0.204,0.11599999999999999,0.092,0.08800000000000001,0.023,0.038,0.013999999999999999,0.013999999999999999,0.012,0.004,0.024,0.013000000000000001,0.008,0.022000000000000002,0.032,0.015,0.005,M
108,0.06,0.047,0.05,0.039,0.10300000000000001,0.077,0.085,0.045,0.109,0.035,0.158,0.20199999999999999,0.22699999999999998,0.28300000000000003,0.382,0.466,0.669,0.865,0.9359999999999999,0.937,0.914,0.9159999999999999,0.9309999999999999,0.86,0.733,0.5760000000000001,0.41600000000000004,0.41100000000000003,0.415,0.315,0.294,0.317,0.315,0.413,0.39899999999999997,0.42,0.45299999999999996,0.442,0.474,0.34299999999999997,0.319,0.337,0.249,0.265,0.175,0.09300000000000001,0.053,0.008,0.034,0.013999999999999999,0.003,0.001,0.0,0.023,0.021,0.008,0.012,0.011000000000000001,0.011000000000000001,0.01,M
123,0.027000000000000003,0.016,0.034,0.025,0.08199999999999999,0.126,0.132,0.158,0.20199999999999999,0.212,0.221,0.24,0.29600000000000004,0.406,0.51,0.551,0.6609999999999999,0.68,0.652,0.679,0.7809999999999999,0.8370000000000001,0.897,0.986,1.0,0.94,0.892,0.81,0.6829999999999999,0.557,0.43,0.33399999999999996,0.204,0.08,0.081,0.152,0.263,0.24600000000000002,0.198,0.24100000000000002,0.24100000000000002,0.19,0.20800000000000002,0.177,0.11199999999999999,0.078,0.134,0.096,0.06,0.033,0.02,0.019,0.02,0.008,0.004,0.009,0.013999999999999999,0.009,0.01,0.009,M
162,0.022000000000000002,0.015,0.035,0.035,0.048,0.053,0.077,0.086,0.145,0.21100000000000002,0.23399999999999999,0.209,0.16399999999999998,0.16899999999999998,0.165,0.19699999999999998,0.293,0.371,0.431,0.41600000000000004,0.512,0.65,0.772,0.8490000000000001,0.91,0.8909999999999999,0.8190000000000001,0.6779999999999999,0.537,0.521,0.565,0.575,0.525,0.426,0.33299999999999996,0.233,0.145,0.165,0.26899999999999996,0.373,0.447,0.413,0.374,0.302,0.207,0.179,0.16899999999999998,0.134,0.077,0.022000000000000002,0.02,0.012,0.007,0.001,0.003,0.005,0.003,0.002,0.002,0.003,M
184,0.027000000000000003,0.038,0.05,0.071,0.131,0.21,0.226,0.252,0.36,0.5920000000000001,0.6679999999999999,0.568,0.518,0.33299999999999996,0.2,0.28600000000000003,0.294,0.342,0.595,0.753,0.8959999999999999,0.815,0.711,0.738,0.72,0.825,0.892,0.982,0.818,0.485,0.32,0.278,0.23800000000000002,0.29100000000000004,0.168,0.316,0.187,0.33899999999999997,0.599,0.41200000000000003,0.11800000000000001,0.365,0.466,0.478,0.35200000000000004,0.092,0.12300000000000001,0.17800000000000002,0.10800000000000001,0.03,0.035,0.017,0.02,0.013999999999999999,0.008,0.004,0.004,0.003,0.006,0.006,M
51,0.013000000000000001,0.007,0.031,0.031,0.008,0.077,0.077,0.064,0.073,0.09,0.075,0.084,0.12300000000000001,0.162,0.23199999999999998,0.293,0.353,0.366,0.322,0.309,0.408,0.428,0.466,0.596,0.695,0.8390000000000001,0.888,0.64,0.331,0.342,0.49200000000000005,0.45899999999999996,0.303,0.43700000000000006,0.518,0.512,0.475,0.49,0.46,0.446,0.42,0.287,0.23,0.095,0.01,0.053,0.038,0.011000000000000001,0.011000000000000001,0.008,0.011000000000000001,0.006,0.003,0.004,0.008,0.004,0.005,0.001,0.005,0.002,R
183,0.01,0.04,0.068,0.069,0.08900000000000001,0.09300000000000001,0.096,0.214,0.255,0.295,0.402,0.515,0.49,0.413,0.358,0.345,0.307,0.294,0.435,0.726,0.815,0.81,0.6659999999999999,0.696,0.775,0.8690000000000001,1.0,0.9940000000000001,0.879,0.648,0.588,0.6409999999999999,0.49700000000000005,0.276,0.03,0.336,0.317,0.413,0.628,0.498,0.261,0.47,0.48100000000000004,0.49200000000000005,0.529,0.222,0.14,0.18899999999999997,0.095,0.013000000000000001,0.031,0.024,0.008,0.013999999999999999,0.017,0.001,0.011000000000000001,0.004,0.004,0.002,M
180,0.031,0.022000000000000002,0.043,0.019,0.096,0.183,0.111,0.17,0.28,0.44299999999999995,0.522,0.561,0.5379999999999999,0.405,0.22399999999999998,0.17800000000000002,0.23,0.272,0.521,0.69,0.82,0.878,0.76,0.762,0.715,0.7290000000000001,0.8690000000000001,0.951,0.835,0.573,0.436,0.429,0.424,0.316,0.129,0.14800000000000002,0.20600000000000002,0.24,0.517,0.517,0.149,0.24100000000000002,0.342,0.449,0.462,0.2,0.078,0.12300000000000001,0.078,0.009,0.025,0.02,0.006,0.005,0.008,0.004,0.002,0.006,0.007,0.005,M
31,0.008,0.015,0.028999999999999998,0.043,0.095,0.075,0.040999999999999995,0.026000000000000002,0.069,0.175,0.19699999999999998,0.11699999999999999,0.168,0.081,0.218,0.512,0.723,0.778,0.622,0.35,0.373,0.262,0.37799999999999995,0.736,0.867,0.8220000000000001,0.777,0.7859999999999999,0.565,0.364,0.353,0.386,0.337,0.16899999999999998,0.263,0.32,0.139,0.105,0.168,0.191,0.11699999999999999,0.09300000000000001,0.086,0.095,0.099,0.096,0.043,0.040999999999999995,0.011000000000000001,0.018000000000000002,0.006,0.024,0.011000000000000001,0.013999999999999999,0.012,0.006,0.006,0.003,0.007,0.004,R
191,0.032,0.025,0.017,0.048,0.09,0.106,0.102,0.121,0.124,0.153,0.213,0.254,0.26899999999999996,0.28,0.18899999999999997,0.14800000000000002,0.21600000000000003,0.242,0.299,0.33399999999999996,0.379,0.396,0.523,0.691,0.787,0.8340000000000001,0.92,1.0,0.899,0.6459999999999999,0.597,0.436,0.3,0.22899999999999998,0.187,0.092,0.183,0.174,0.245,0.24100000000000002,0.252,0.318,0.168,0.068,0.11900000000000001,0.183,0.188,0.111,0.031,0.013999999999999999,0.013999999999999999,0.011000000000000001,0.006,0.004,0.007,0.001,0.005,0.004,0.0,0.006,M
14,0.012,0.043,0.06,0.045,0.06,0.036000000000000004,0.053,0.034,0.105,0.212,0.16399999999999998,0.19,0.303,0.20199999999999999,0.059000000000000004,0.239,0.366,0.381,0.593,0.63,0.58,0.457,0.445,0.369,0.645,0.894,0.898,0.498,0.33299999999999996,0.235,0.155,0.36700000000000005,0.434,0.308,0.302,0.41100000000000003,0.55,0.413,0.55,0.502,0.313,0.28,0.235,0.23,0.11599999999999999,0.07200000000000001,0.062,0.032,0.045,0.017,0.008,0.008,0.006,0.017,0.019,0.005,0.011000000000000001,0.02,0.015,0.006,R
86,0.019,0.037000000000000005,0.095,0.08199999999999999,0.025,0.049,0.142,0.19699999999999998,0.187,0.18100000000000002,0.214,0.152,0.198,0.484,0.73,0.7809999999999999,0.7909999999999999,0.612,0.42,0.281,0.515,0.757,0.86,1.0,0.846,0.68,0.6970000000000001,0.584,0.47700000000000004,0.52,0.424,0.159,0.16699999999999998,0.059000000000000004,0.397,0.715,0.732,0.35100000000000003,0.059000000000000004,0.26899999999999996,0.42,0.387,0.244,0.2,0.231,0.18899999999999997,0.196,0.17,0.13699999999999998,0.04,0.013999999999999999,0.009,0.003,0.011000000000000001,0.003,0.006,0.009,0.006,0.007,0.002,R
169,0.013000000000000001,0.012,0.044000000000000004,0.062,0.043,0.035,0.038,0.045,0.132,0.138,0.203,0.239,0.21100000000000002,0.14400000000000002,0.07400000000000001,0.153,0.305,0.41200000000000003,0.547,0.593,0.6659999999999999,0.733,0.7140000000000001,0.701,0.7759999999999999,0.914,0.996,1.0,0.888,0.6579999999999999,0.271,0.175,0.271,0.485,0.718,0.821,0.754,0.65,0.47100000000000003,0.348,0.35100000000000003,0.318,0.35200000000000004,0.366,0.285,0.171,0.069,0.03,0.028999999999999998,0.012,0.002,0.008,0.01,0.002,0.004,0.006,0.001,0.001,0.003,0.003,M
